"date","uid","gender","age","incentive","amount"
2014-04-01,64342eaac803bcf95eec5eea,F,59,Be Active,50
2014-05-01,64342eaac803bcf95eec5eea,F,59,Be Active,25
2014-02-01,8e9cd4cf8cb0b03c34f8478b,NULL,38,Be Active,25
2014-04-01,8e9cd4cf8cb0b03c34f8478b,NULL,38,Be Active,25
2014-03-01,cf965aee0a11cfad4937b0df,F,44,Be Active,25
2014-04-01,cf965aee0a11cfad4937b0df,F,44,Be Active,50
2014-05-01,cf965aee0a11cfad4937b0df,F,44,Be Active,50
2014-06-01,cf965aee0a11cfad4937b0df,F,44,Be Active,25
2014-07-01,cf965aee0a11cfad4937b0df,F,44,Be Active,25
2014-08-01,cf965aee0a11cfad4937b0df,F,44,Be Active,25
2014-02-01,c00b171653319a62fc5cbfdb,NULL,25,Be Active,25
2014-02-01,88f00ce981708f7a21438f85,M,31,Be Active,25
2014-03-01,88f00ce981708f7a21438f85,M,31,Be Active,25
2014-04-01,88f00ce981708f7a21438f85,M,31,Be Active,50
2014-05-01,88f00ce981708f7a21438f85,M,31,Be Active,25
2014-02-01,594ecaae831349c3ca9fbd73,M,30,Be Active,25
2014-03-01,594ecaae831349c3ca9fbd73,M,30,Be Active,25
2014-04-01,594ecaae831349c3ca9fbd73,M,30,Be Active,25
2014-02-01,d38acec2eef11b2296249741,NULL,38,Be Active,25
2014-03-01,d38acec2eef11b2296249741,NULL,38,Be Active,25
2014-04-01,d38acec2eef11b2296249741,NULL,38,Be Active,25
2014-05-01,d38acec2eef11b2296249741,NULL,38,Be Active,25
2014-06-01,d38acec2eef11b2296249741,NULL,38,Be Active,25
2014-07-01,d38acec2eef11b2296249741,NULL,38,Be Active,50
2014-08-01,d38acec2eef11b2296249741,NULL,38,Be Active,50
2014-09-01,d38acec2eef11b2296249741,NULL,38,Be Active,25
2014-11-01,d38acec2eef11b2296249741,NULL,38,Be Active,25
2014-02-01,c7cfcb5131f62332bf6022c2,NULL,34,Be Active,25
2014-02-01,5a1358778d8941ab5f5e068e,NULL,35,Be Active,25
2014-03-01,5a1358778d8941ab5f5e068e,NULL,35,Be Active,25
2014-02-01,16d037c38333ddbd86d9b2e8,M,31,Be Active,25
2014-04-01,16d037c38333ddbd86d9b2e8,M,31,Be Active,25
2014-05-01,16d037c38333ddbd86d9b2e8,M,31,Be Active,25
2014-06-01,16d037c38333ddbd86d9b2e8,M,31,Be Active,25
2014-07-01,16d037c38333ddbd86d9b2e8,M,31,Be Active,50
2014-08-01,16d037c38333ddbd86d9b2e8,M,31,Be Active,50
2014-02-01,93b37d547e9bdb535c8fb6f2,NULL,33,Be Active,25
